name,team_name,slg_percent,on_base_percent,sprint_speed
"Batten, Matthew",SD,0.358,0.355,28.6
"Rosario, Eddie",ATL,0.45,0.305,27.9
"Suwinski, Jack",PIT,0.454,0.339,28.6
"Sosa, Lenyn",CWS,0.348,0.224,27.6
"Trammell, Taylor",SEA,0.326,0.286,27.1
"Perez, Carlos",OAK,0.357,0.293,24.6
"Andujar, Miguel",PIT,0.476,0.3,27.7
"Velazquez, Nelson",KC,0.586,0.302,27.3
"McKenna, Ryan",BAL,0.361,0.316,28.7
"Betts, Mookie",LAD,0.579,0.408,27.2
"Fry, David",CLE,0.416,0.319,27.1
"Margot, Manuel",TB,0.376,0.31,28.3
"Peterson, Jace",ARI,0.307,0.304,28.0
"Segura, Jean",MIA,0.279,0.277,27.4
"Kiermaier, Kevin",TOR,0.419,0.322,28.8
"Pham, Tommy",ARI,0.446,0.328,27.7
"Trout, Mike",LAA,0.49,0.367,29.5
"Turner, Trea",PHI,0.459,0.32,30.3
"Brantley Jr., Michael",HOU,0.426,0.298,25.4
"Carpenter, Kerry",DET,0.471,0.34,28.1
"Contreras, William",MIL,0.457,0.367,26.5
"Santana, Carlos",MIL,0.429,0.318,25.9
"Garcia, Maikel",KC,0.358,0.323,28.2
"Doyle, Brenton",COL,0.343,0.25,29.9
"Arraez, Luis",MIA,0.469,0.393,26.1
"Reynolds, Bryan",PIT,0.46,0.33,27.7
"Rengifo, Luis",LAA,0.444,0.339,27.3
"Rendon, Anthony",LAA,0.318,0.361,26.5
"Meadows, Austin",,0.286,0.238,26.0
"Mervis, Matt",CHC,0.289,0.242,24.8
"McCutchen, Andrew",PIT,0.397,0.378,28.4
"Rortvedt, Ben",NYY,0.221,0.241,25.9
"Rios, Edwin",CHC,0.214,0.235,
"Delay, Jason",PIT,0.347,0.319,26.5
"Bogaerts, Xander",SD,0.44,0.35,27.7
"Haseley, Adam",CWS,0.278,0.282,27.9
"White, Eli",,0.071,0.235,
"Slater, Austin",SF,0.4,0.348,27.7
"Lewis, Royce",MIN,0.548,0.372,28.2
"Madris, Bligh",HOU,0.192,0.267,26.1
"Garcia, Avisail",MIA,0.315,0.241,28.3
"Rodriguez, Julio",SEA,0.485,0.333,29.6
"Zavala, Seby",ARI,0.314,0.23,26.4
"Ruiz, Esteury",OAK,0.345,0.309,29.7
"Jimenez, Eloy",CWS,0.441,0.317,26.5
"Allen, Greg",NYY,0.478,0.333,27.0
"Tromp, Chadwick",,0.188,0.125,
"Huff, Sam",TEX,0.512,0.289,26.2
"Duffy, Matt",KC,0.325,0.306,27.0
"Meneses, Joey",WSH,0.401,0.321,25.6
"Diaz, Yainer",HOU,0.538,0.308,27.6
"Solano, Donovan",MIN,0.391,0.369,25.4
"Luciano, Marco",SF,0.308,0.333,27.1
"Davis, Henry",PIT,0.351,0.302,28.2
"Gamel, Ben",,0.267,0.2,27.6
"Burleson, Alec",STL,0.39,0.3,25.6
"Harris II, Michael",ATL,0.477,0.331,28.8
"Voit III, Luke",MIL,0.265,0.284,24.9
"Urias, Ramon",BAL,0.375,0.328,26.7
"Moore, Dylan",SEA,0.428,0.303,27.7
"Greene, Riley",DET,0.447,0.349,28.1
"Maton, Nick",DET,0.305,0.288,27.2
"Stephenson, Tyler",CIN,0.378,0.317,26.9
"Azocar, Jose",SD,0.363,0.278,29.7
"Vazquez, Christian",MIN,0.318,0.28,25.0
"Cronenworth, Jake",SD,0.378,0.312,28.3
"DeJong, Paul",SF,0.355,0.258,26.9
"Garver, Mitch",TEX,0.5,0.37,25.6
"Grissom, Vaughn",ATL,0.347,0.313,27.1
"Singleton, Jon",HOU,0.264,0.267,26.0
"Tatis Jr., Fernando",SD,0.449,0.322,29.3
"Mathias, Mark",SF,0.258,0.333,27.7
"Volpe, Anthony",NYY,0.383,0.283,28.4
"Schanuel, Nolan",LAA,0.33,0.402,26.8
"Rojas, Johan",PHI,0.43,0.342,29.5
"Ford, Mike",SEA,0.475,0.323,24.5
"Sosa, Edmundo",PHI,0.427,0.293,29.2
"Mateo, Jorge",BAL,0.34,0.267,30.1
"Ramos, Henry",CIN,0.311,0.349,27.0
"Rocchio, Brayan",CLE,0.321,0.279,27.4
"Rivas III, Alfonso",PIT,0.422,0.303,26.9
"Davis, Jonathan",MIA,0.378,0.307,28.9
"Neto, Zach",LAA,0.377,0.308,27.7
"Rosario, Amed",LAD,0.378,0.305,29.4
"Contreras, Willson",STL,0.467,0.358,26.7
"Ahmed, Nick",ARI,0.303,0.257,28.1
"Clement, Ernie",TOR,0.5,0.385,28.4
"Ramirez, Harold",TB,0.46,0.353,27.8
"Pillar, Kevin",ATL,0.416,0.248,28.2
"Harper, Bryce",PHI,0.499,0.401,27.6
"Marlowe, Cade",SEA,0.42,0.33,28.9
"Sullivan, Brett",SD,0.284,0.244,27.3
"Pollock, AJ",SF,0.308,0.215,28.8
"Chang, Yu",BOS,0.352,0.2,28.3
"Kelenic, Jarred",SEA,0.419,0.327,28.0
"Smith, Josh H.",TEX,0.328,0.304,28.5
"Semien, Marcus",TEX,0.478,0.348,28.7
"Castro, Willi",MIN,0.411,0.339,28.6
